ingredient,warnings,confidence scores,related papers
aspartame,Possible increased cancer risk (particularly liver and breast cancers)/Increased risk of type 2 diabetes and metabolic issues/Cardiovascular disease risk and higher all‑cause mortality/Risk for individuals with phenylketonuria (PKU),Moderate Evidence/Moderate Evidence/Moderate Evidence/Strong Evidence,DOI:10.1371/journal.pmed.1003950 (2022)+DOI: BMJ‑2022‑071204 (2022) [Debras et al.]†+WHO/IARC report (hazard classification) (2023)+EFSA Commission scientific opinion (2013)
MSG,"May cause neurological effects at high doses or chronic exposure, including memory impairment and neuronal injury (particularly in animal models)/May contribute to obesity and metabolic dysfunction through appetite dysregulation and altered hypothalamic signaling/May induce kidney damage at high doses or prolonged intake/May trigger transient symptoms (headache, flushing) in sensitive individuals when consumed in large amounts without food
","Moderate Evidence/Moderate Evidence/Limited Evidence/Limited Evidence
","DOI:10.3389/fphar.2023.1283440 (2023) [Singh et al.]+DOI:10.1080/26896583.2024.2415202 (2024) [Udom et al.]+DOI:10.21608/ajfm.2012.19539 (2012) [Osman et al.]+DOI:10.1093/jn/130.4.1058S (2000) [Geha et al.]+EFSA scientific opinion (2017)+FDA GRAS classification (2012)
"
caramel color,"Possible increased cancer risk in humans due to exposure to 4‑methylimidazole (4‑MeI), especially from Class IV caramel color E150d at high levels/No evidence of genotoxicity or reproductive toxicity in humans at typical dietary exposure, but high consumers (e.g. heavy cola drinkers or toddlers) could exceed ADI and carry greater risk of chronic exposure",Moderate Evidence/Limited Evidence,"EFSA scientific opinion on re‑evaluation of caramel colours E150a,b,c,d (2011) [EFSA]+IARC classification of 4‑MeI as group 2B possible human carcinogen (2013) [IARC] + Food and Chemical Toxicology review by Vollmuth (2018) [peer-reviewed]"
Lecithin,"Generally recognized as safe for the general population at typical dietary levels, but excessive intake may contribute to gastrointestinal discomfort in sensitive individuals/No safety concern for infants, including those below 16 weeks of age, when used within permitted levels in formula and medical foods/Potential contamination risk with heavy metals (arsenic, lead, mercury, cadmium) if manufacturing specifications are not controlled",Strong Evidence/Strong Evidence/Moderate Evidence,DOI:10.2903/j.efsa.2017.4742 (2017) [EFSA Panel on Food Additives]/DOI:10.2903/j.efsa.2020.6266 (2020) [EFSA Panel on Food Additives and Flavourings]/DOI:10.1080/109158101750300937 (2001) [Fiume]
Sucralose,"Generally safe for the general population at approved intake levels, with no evidence of carcinogenicity or genotoxicity/May alter gut microbiota composition at high doses, though clinical relevance in humans remains uncertain/Can cross the placental barrier in small amounts, but no teratogenic or developmental toxicity has been demonstrated in humans",Strong Evidence/Moderate Evidence/Limited Evidence,DOI:10.1080/01635581.2016.1224366 (2016) [Berry et al.]+DOI:10.1016/j.fct.2017.05.047 (2017) [Magnuson et al.]+DOI:10.1016/j.fct.2019.110898 (2019) [Chappell et al.]+DOI:10.1016/S0278-6915(00)00029-6 (2000) [Mann et al.]+EFSA supporting publication on sweeteners (2021)+FDA GRAS status (1999)
Gelatin,"May cause severe allergic reactions including anaphylaxis in sensitized individuals, especially those with beef or pork allergies or history of reactions to gelatin-containing vaccines or medical products/Generally considered safe as a food additive, but may pose a risk of cross-reactivity in individuals with multiple food allergies/Minimal risk of prion disease transmission from bovine-derived gelatin due to strict regulatory sourcing controls, though historically a theoretical concern",Strong Evidence/Moderate Evidence/Limited Evidence,DOI:10.1016/J.JACI.2004.01.328 (2004) [Mullins & Apostolou]+DOI:10.1016/j.jaip.2012.09.004 (2013) [Land et al.]+DOI:10.1016/J.FCT.2004.08.008 (2004) [Hansen et al.]+FDA Redbook Guidelines (2000)+EFSA guidance on food additive safety assessment (2021)
Carbonated water,"May contribute to dental enamel erosion with frequent or long-term use/May be a source of microbial contamination when produced in-home without proper hygiene/May increase blood pressure acutely in sensitive individuals such as older adults with hypertension","Moderate Evidence/Limited Evidence/Limited Evidence","DOI:10.17135/JDHS.2015.15.4.437 (2015) [Lim et al.]+DOI:10.1016/J.IJHEH.2005.04.008 (2005) [Kohnen et al.]+DOI:10.3389/fneur.2021.788954 (2022) [Kubota et al.]
"
Ascorbic acid,"May increase risk of kidney stones in individuals predisposed to oxalate stone formation/May increase estrogen bioavailability in women taking oral contraceptives, potentially enhancing side effects/May lead to iron overload in individuals with hereditary hemochromatosis/High-dose supplementation may exhibit pro-oxidant activity and potentially worsen oxidative stress in some cancer contexts
","Moderate Evidence/Moderate Evidence/Moderate Evidence/Limited Evidence
","DOI:10.1021/BA-1982-0200.CH018 (1982) [Brin et al.]+DOI:10.1093/ajcn/37.5.784 (1983) [Back & Orme]+DOI:10.1111/J.1753-4887.1993.TB03757.X (1993) [Gershoff]+DOI:10.19070/2326-3350-140004E (2014) [Menaa]
"
"Citric acid
","May cause dental enamel erosion with frequent consumption of acidic foods or beverages in children and adults/May act as a respiratory irritant at high airborne concentrations in occupational settings/May induce kidney cellular damage at high doses in animal models","Strong Evidence/Moderate Evidence/Limited Evidence","DOI:10.14219/JADA.ARCHIVE.1977.0551 (1977) [Fuller & Johnson]+DOI:10.1002/3527600418.mb7792kske6518 (2018) [German Commission for the Investigation of Health Hazards]+DOI:10.3109/10520295.2014.937745 (2015) [Chen et al.]"
Natural identical flavor,"May pose genotoxic risk depending on specific compound used, e.g., acetaldehyde or benzaldehyde/May cause urinary bladder and liver changes at high doses in animal studies for some nature-identical flavoring agents/Potential mutagenicity of meat flavorings with nature-identical components remains inconclusive
","Moderate Evidence/Limited Evidence/Limited Evidence","DOI:10.1002/mnfr.202200661 (2023) [Cartus et al.]+DOI:10.1016/j.fct.2018.09.060 (2018) [Akagi et al.]+DOI: (1985) [Scheutwinkel-Reich et al.]"
